submitted_on,level_measurable,measure_reason,well_depth,depth_unit,depth_over100,endcap_available,measure_method,method_other,measure_datum,casing_length,casing_unit,static_level,level_unit,logger_available,logger_photo,logger_not_available_reason,logger_type,logger_depth,logger_unit,logger_download,download_reason,download_other,barlogger_available,barlogger_photo,barlogger_download,barlogger_reason,barlogger_other,barlogger_match,barlogger_name,traditional_authority,district,dipper_available,dipper_condition,dipper_problem,problem_other,dipper_photo,ppe_available,ppe_photo,community_sensitized,well_purpose,vandalism_reason,vandal_other,vandal_control,control_other,civil_photo,other_issues,site_importance,importance_other,site_accessible,access_problem,potable_access,source_type,improvement_plan
2/9/2022 0:00,Yes,NA,43.97,mbgl,No,No,Manual dipper,NA,Groundlevel,NA,NA,9.38,m,Yes,https://api.mwater.co/v3/images/9814d5c86bcd4cd3a4ecad10159ba2fe,NA,Solinst,23.16,m,No,No connection to computer,NA,No,NA,NA,NA,NA,Yes,Kuti Well field,NA,NA,Yes,Poor condition,"Battery not functioning		, Numbers on tape not visible		, Sound indicator not functional",NA,https://api.mwater.co/v3/images/a2cdb4a7561d4f1db950b9d095cf908a; https://api.mwater.co/v3/images/4d14feda3a414a00a7d76a6899bbfc4b,No,NA,Yes,Measuring the water table,Other,Minimal Risk,Improve security features around the monitoring well,NA,https://api.mwater.co/v3/images/dc10f88c56904b8fac675412532dc027,NA,Other,General groundwater level monitoring,Yes,NA,Yes,Borehole or tubewell,"Replace barologger , Replacement of the level logger, Provide manual dipper"
2/9/2022 0:00,No,"The borehole was filled with sand/rock, Other",NA,NA,NA,No,Data logger,NA,Top of casing,31,cm,NA,NA,No,NA,Vandalized,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,"People/children are curious to see what is inside , They want to remove parts of the monitoring well to sell",NA,"Sensitise the community on the importance of this monitoring well , Organize a dedicated committee , Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/73c59298ec944c54831fa68df2f97ae3,"Both lock and keys not available 
End cup not available",Geology related,NA,Yes,NA,Yes,Borehole or tubewell,"Discard monitoring well, Identify and training gauge reader, Provide manual dipper"
2/9/2022 0:00,Yes,NA,87.33,mbgl,No,No,Data logger,NA,Top of casing,28,cm,12.66,m,Yes,https://api.mwater.co/v3/images/a6c4050241a3487a9bcbe9c741f07bf1; https://api.mwater.co/v3/images/ac6492dfabb24ceeaa849c2b2a845c20,NA,Solinst,30.07,m,No,No connection to computer,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People/children are curious to see what is inside,NA,"Organize a dedicated committee , Sensitise the community on the importance of this monitoring well , Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/9a65e2cde3094a2e8c123f7b0eedcc24,Only lock was available,Geology related,NA,Yes,NA,Yes,Borehole or tubewell,"Identify and training gauge reader, Provide manual dipper, Replacement of the level logger"
2/9/2022 0:00,Yes,NA,92.56,mbgl,No,No,Data logger,NA,Top of casing,25,cm,13.41,m,Yes,https://api.mwater.co/v3/images/30d3c76005db4a3d88b6af17fa12a701; https://api.mwater.co/v3/images/6425a6e1a0664daabb6a904074cace7f,NA,Solinst,29.81,m,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,"They want to remove parts of the monitoring well to sell , People/children are curious to see what is inside",NA,"Sensitise the community on the importance of this monitoring well , Improve security features around the monitoring well, Organize a dedicated committee , Other",Employ a watchman,https://api.mwater.co/v3/images/9540820fd4b944b8aedc46077139bee8,There is no end cup,"Geology related , Vertical coverage (deeper aquifer)",NA,Yes,NA,No,NA,"Identify and training gauge reader, Provide manual dipper"
2/9/2022 0:00,Yes,NA,91.84,mbgl,Yes,No,Data logger,NA,Top of casing,25,cm,13.3,m,Yes,NA,NA,Solinst,30.23,m,No,No connection to computer,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Organize a dedicated committee , Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/986fb513d15d41deb6fb53ce3cfb1188,"Only lock was available,  no keys 
There is no end cup","Geology related , Vertical coverage (deeper aquifer)",NA,Yes,NA,No,NA,"Provide manual dipper, Rehabilitation of the civil  works, Replacement of the level logger, Identify and training gauge reader, Installation of a new logger"
2/9/2022 0:00,Yes,NA,17.34,mbgl,No,Yes,Data logger,NA,Top of casing,30,cm,6.71,m,Yes,https://api.mwater.co/v3/images/8b4227740c624c378239b58dea3b9e46; https://api.mwater.co/v3/images/76ee5e54bdfd4276a0c12d9f7a9b2d6a,NA,Solinst,13.1,m,No,No connection to computer,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,No,NA,They want to remove parts of the monitoring well to sell,NA,"Sensitise the community on the importance of this monitoring well , Organize a dedicated committee , Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/bbc9af1c10e54d52855890a263ebb312,"Only lock was available,  no keys",Geology related,NA,Yes,NA,No,NA,"Replacement of the level logger, Provide manual dipper, Identify and training gauge reader"
2/9/2022 0:00,Yes,NA,95.84,mbgl,No,No,Data logger,NA,Top of casing,20,cm,3.38,m,Yes,NA,NA,Solinst,29.84,m,No,No connection to computer,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Organize a dedicated committee , Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/9faf77ec6d9f45898a86f6a1a03190ea,"Only lock was available, no keys 
End cup not available","Geology related , Vertical coverage (deeper aquifer)",NA,Yes,NA,No,NA,"Replacement of the level logger, Installation of a new logger , Identify and training gauge reader, Provide manual dipper, Replace end cap, Rehabilitation of the civil  works"
2/9/2022 0:00,Yes,NA,99.7,mbgl,No,No,Manual dipper,NA,Groundlevel,NA,NA,13.9,m,Yes,https://api.mwater.co/v3/images/32d0df502d824caca9802b52a65bfd90,NA,Solinst,25.9,m,No,No connection to computer,NA,No,NA,NA,NA,NA,Yes,Kuti Well Filed,NA,NA,Yes,Poor condition,"Battery not functioning		, Sound indicator not functional, Numbers on tape not visible",NA,https://api.mwater.co/v3/images/354e98e88fa94331b72545c81f22d39c; https://api.mwater.co/v3/images/4a78dc65acbc45a2abd2d80076433333,No,NA,Yes,Measuring the water table,People/children are curious to see what is inside,NA,"Improve security features around the monitoring well, Sensitise the community on the importance of this monitoring well , Report to the chief",NA,https://api.mwater.co/v3/images/57935b5a1ceb47f0bb03eaf8f21b5bcd,NA,Other,General Water level monitoring,Yes,NA,Yes,Borehole or tubewell,"Replace barologger , Replacement of the level logger, Replace end cap"
2/9/2022 0:00,Yes,NA,100,mbgl,Yes,Yes,Manual dipper,NA,Top of casing,30,cm,21.38,m,No,NA,Never installed,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Organize a dedicated committee , Handover safeguarding responsibilities to the Water Point Committee , handover safeguarding responsibilities to other existing committees (non-WASH), Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/e901dc46a4cc4b5ab0052a63a5734a46,"The well is located over 60km from Blantyre and the road condition is in bad shape, it might not be passable during the rainy season.

Lock was available but the keys are not available","Vertical coverage (deeper aquifer), Geology related , Spatial coverage",NA,Yes,NA,Yes,Borehole or tubewell,"Installation of a new logger , Identify and training gauge reader, Provide manual dipper, Replace the well , Discard as monitoring well and donate to the community"
2/9/2022 0:00,Yes,NA,90.31,mbgl,No,No,Data logger,NA,Top of casing,30,cm,13.45,m,Yes,https://api.mwater.co/v3/images/02a1b40ec3c040ad8e75699862baf9c9; https://api.mwater.co/v3/images/32b18687fa964d2db2137f7eae2cf89e,NA,Solinst,30.4,m,Yes,NA,NA,Yes,https://api.mwater.co/v3/images/e86e7ee8bb624186859fabb05a1b7385; https://api.mwater.co/v3/images/710d72b96caf4ee1a55199fc88f82800,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Measuring the water table,People/children are curious to see what is inside,NA,"Improve security features around the monitoring well, Organize a dedicated committee",NA,https://api.mwater.co/v3/images/05ec631679574459b60c694e68e8caa8,End cup not Available,Geology related,NA,Yes,NA,Yes,Piped into yard/plot,"Identify and training gauge reader, Provide manual dipper"
2/9/2022 0:00,Yes,NA,87,mbgl,No,No,Manual dipper,NA,Groundlevel,NA,NA,13.41,m,Yes,https://api.mwater.co/v3/images/a735d12093374ea0829856317d80e03f,NA,Solinst,29,m,No,Other,Faulty logger,Yes,https://api.mwater.co/v3/images/7c9a6d2115664fde8cdf6d4208d4fc68,No,Other,Faulty logger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/19ef26cf2c1b44069d7adab6c6e791b3,Generally poor workmanshio of the ancillary structure edpecially around the cover,"Spatial coverage, Geology related , Vertical coverage (deeper aquifer)",NA,Yes,NA,Yes,Borehole or tubewell,"Rehabilitation of the civil  works, Welding on the existing hinges, Replacement of the cover and hinges, Replacement of the level logger, Replace barologger , Installation of a new logger , Replace end cap, Identify and training gauge reader"
2/9/2022 0:00,Yes,NA,75.94,mbgl,Yes,No,Manual dipper,NA,Groundlevel,NA,NA,8.95,m,Yes,https://api.mwater.co/v3/images/096d3cb2dfca430ca2bcd38d6bd18c3e,NA,Solinst,29.8,m,No,No connection to computer,NA,No,NA,NA,NA,NA,Yes,Not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Measuring the water table,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Report to the chief",NA,https://api.mwater.co/v3/images/a8b7df6583c6430bbd928ca799a0c9c1,The  civil works are in bad shape and it requires to be rehabilitated by raising it,Other,General monitoring of water level,Yes,NA,Yes,Borehole or tubewell,"Replace barologger , Replacement of the level logger, Rehabilitation of the civil  works, Replacement of the cover and hinges, Replace and weld the hinges, Replace end cap, Welding on the existing hinges"
2/9/2022 0:00,Yes,NA,100,mbgl,Yes,No,Manual dipper,NA,Top of casing,22,cm,6.36,m,No,NA,Never installed,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Organize a dedicated committee , Handover safeguarding responsibilities to the Water Point Committee , handover safeguarding responsibilities to other existing committees (non-WASH), Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/853816e04e6e4e29b7f4cd607b022b20,NA,"Geology related , Vertical coverage (deeper aquifer), Spatial coverage",NA,Yes,NA,Yes,Borehole or tubewell,"Replace and weld the hinges, Replace end cap, Installation of a new logger , Provide manual dipper, Identify and training gauge reader"
2/9/2022 0:00,Yes,NA,5,mbgl,No,No,Manual dipper,NA,Groundlevel,NA,NA,3.08,m,Yes,https://api.mwater.co/v3/images/23d7c7e0f533429d825cd32761c9648a,NA,Solinst,10,m,No,No connection to computer,NA,No,NA,NA,NA,NA,Could not determine,NA,NA,NA,Yes,Poor condition,"Battery not functioning		, Tape worn out		, Sound indicator not functional, Light indicator not functional",NA,https://api.mwater.co/v3/images/25e09ddd73514941a446fc4ff0223d9b; https://api.mwater.co/v3/images/287efa6011b5420d817499a11e0b93de,No,NA,Yes,Measuring the water table,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Report to the chief , Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/620f4ced26664881a09ee47358e64d1f,Borehole was field with stones as such observed depth is 5m,Other,General water level monitoring,Yes,NA,Yes,Piped into yard/plot,"Replacement of the level logger, Replace barologger , Redevelop the monitoring well, Provide manual dipper, Replace end cap"
2/9/2022 0:00,Yes,NA,100,mbgl,Yes,No,Data logger,NA,Top of casing,19,cm,9.7,m,Yes,https://api.mwater.co/v3/images/d0538d9fe67648c989a8f1354ea64f4a; https://api.mwater.co/v3/images/3e4e3c1490854723a1e5f832f023599c,NA,Solinst,30.45,m,No,No connection to computer,NA,Yes,https://api.mwater.co/v3/images/bb409255768748c09c54043ca8568f48; https://api.mwater.co/v3/images/c94aac41a04245e0a518ed1e744da4f1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/ba748b94c0ef4ebda7ca03398109de67,"End cup not available 
Only lock was available","Geology related , Vertical coverage (deeper aquifer)",NA,Yes,NA,Yes,Borehole or tubewell,"Replacement of the level logger, Provide manual dipper, Identify and training gauge reader, Welding on the existing hinges, Replace barologger"
2/9/2022 0:00,No,The borehole was filled with sand/rock,NA,NA,NA,No,Other,Not measured as the borehole is filled with sand,Top of casing,2,cm,NA,NA,No,NA,Never installed,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Handover safeguarding responsibilities to the Water Point Committee , Organize a dedicated committee , Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/93cb9c159e97469aaefcb1f785789c42,NA,"Spatial coverage, Other",Located within the premises of the water office,Yes,NA,No,NA,"Replace the well , Identify and training gauge reader, Provide manual dipper, Replace and weld the hinges"
2/9/2022 0:00,Could not determine,Other,NA,NA,NA,Could not determine,Data logger,NA,Top of casing,2,cm,NA,NA,Yes,NA,NA,Solinst,5.09,m,No,Other,The well was locked couldn't manage to break the lock,No,NA,NA,NA,NA,Yes,Mulanje water office,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Handover safeguarding responsibilities to the Water Point Committee , Organize a dedicated committee , handover safeguarding responsibilities to other existing committees (non-WASH)",NA,https://api.mwater.co/v3/images/04e75dc19b81419c9b35b46efdb6e786,"The lock is available but the key is failing to open. 

The lock is too strong to be brocken with the equipment tha we have","Spatial coverage, Geology related",NA,Yes,NA,Yes,Borehole or tubewell,"Replacement of the level logger, Redevelop the monitoring well, Identify and training gauge reader, Provide manual dipper"
2/9/2022 0:00,Yes,NA,55.4,mbgl,No,No,Manual dipper,NA,Groundlevel,NA,NA,3.97,m,Yes,https://api.mwater.co/v3/images/66de8894593841e19438d7dd904f4ca0,NA,Seba,22.7,m,No,Other,Different software requirements,No,NA,NA,NA,NA,Could not determine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Measuring the water table,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/200128c46d2d40549901bb75bc9c80ac,Water and debris finds their way to inside by children,Other,General water level monitoring,Yes,NA,Yes,Borehole or tubewell,"Replace barologger , Replacement of the level logger, Replace end cap, Identify and training gauge reader, Provide manual dipper, Replacement of the cover and hinges"
2/10/2022 0:00,No,The borehole was filled with sand/rock,NA,NA,NA,No,Other,Not observable,Groundlevel,NA,NA,NA,NA,No,NA,Vandalized,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Measuring the water table,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Improve security features around the monitoring well, Report to the chief",NA,https://api.mwater.co/v3/images/b3b0edc2a7214ea3ae9eee5fa21c1f15,Borehole is all vandalized beyond rehabilitating,Other,For monitoring groundwater level,Yes,NA,Yes,Borehole or tubewell,Discard monitoring well
2/10/2022 0:00,Yes,NA,100,mbgl,Yes,Yes,Manual dipper,NA,Top of casing,14,cm,43.5,m,No,NA,Never installed,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People want to access water when their primary source is broken down,NA,"Sensitise the community on the importance of this monitoring well , Handover safeguarding responsibilities to the Water Point Committee , Organize a dedicated committee , handover safeguarding responsibilities to other existing committees (non-WASH), Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/7528d743b604484faa8127de14090533,NA,"Spatial coverage, Geology related , Vertical coverage (deeper aquifer)",NA,Yes,NA,Yes,Piped into dwelling,"Installation of a new logger , Identify and training gauge reader, Provide manual dipper"
2/10/2022 0:00,No,Other,NA,NA,NA,No,Manual dipper,NA,Groundlevel,NA,NA,NA,NA,No,NA,Well is blocked by roots,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Yes,Poor condition,Other,Continuous sound and lighting,https://api.mwater.co/v3/images/26e85049b902430889fcf705c3d1fcad; https://api.mwater.co/v3/images/84796a10a52240dd9af8cd39c7046e11; https://api.mwater.co/v3/images/ec4a4d4cbc6c4302bdbae14cb9da6e12,No,NA,Yes,Measuring the water table,Other,No risk of vandalizing,Other,No risk of vandalizing,https://api.mwater.co/v3/images/923525d656844cedb8f55215255e2682,Borehole has been blocked by roots from a tree and rendering it no longer useful,Other,For water level monitoring,Yes,NA,Yes,Piped into yard/plot,Replace the well
2/10/2022 0:00,Yes,NA,61.08,mbgl,No,Yes,Manual dipper,NA,Top of casing,24,cm,5.65,m,No,NA,Never installed,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Organize a dedicated committee , Handover safeguarding responsibilities to the Water Point Committee , handover safeguarding responsibilities to other existing committees (non-WASH), Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/d4b7bd53a4f54c119204f84982e5073a,NA,"Geology related , Spatial coverage",NA,Yes,NA,Yes,Borehole or tubewell,"Installation of a new logger , Identify and training gauge reader, Provide manual dipper"
2/10/2022 0:00,Yes,NA,28.72,mbgl,No,Yes,Data logger,NA,Top of casing,27,cm,15.06,m,Yes,https://api.mwater.co/v3/images/b93a34ed6d164f718420d7ddd20269d0; https://api.mwater.co/v3/images/e912f2e58dd0427281def47136521346,NA,Solinst,25.4,m,No,No connection to computer,NA,No,NA,NA,NA,NA,Could not determine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,People/children are curious to see what is inside,NA,"Sensitise the community on the importance of this monitoring well , Organize a dedicated committee , Improve security features around the monitoring well",NA,https://api.mwater.co/v3/images/b3174a1c3e434749bdfbe93bd9e9ffe2,"Keys not available 
Civil works in bad condition",Geology related,NA,Yes,NA,Yes,Borehole or tubewell,"Replacement of the level logger, Replace end cap, Identify and training gauge reader, Provide manual dipper, Rehabilitation of the civil  works"
2/10/2022 0:00,Yes,NA,73.8,mbgl,Yes,No,Manual dipper,NA,Groundlevel,NA,NA,8.2,m,Yes,https://api.mwater.co/v3/images/b01d185e8adb4c2eb4c641c13f830428,NA,Solinst,30.3,m,No,No connection to computer,NA,No,NA,NA,NA,NA,Could not determine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Measuring the water table,People/children are curious to see what is inside,NA,"Improve security features around the monitoring well, Sensitise the community on the importance of this monitoring well",NA,https://api.mwater.co/v3/images/e6e7f2ef8efa471bab9ba855d36d860a,Civil works has cracks and needs to be raised abit,Other,Ground water level monitoring,Yes,NA,Yes,Borehole or tubewell,"Rehabilitation of the civil  works, Replacement of the cover and hinges, Replacement of the level logger, Replace barologger , Replace end cap, Identify and training gauge reader, Provide manual dipper"
